'1','---    ','PRODUCCION MEJILLON EN BATEA','---'
'1','345.5  ','FAB.VENTILADORES Y ACONDICIONADORES','3455'
'1','345.6  ','FAB.APARATOS ELEC. AUXILIARES COCINA','3456'
'1','345.7  ','FAB.APAR.ELECTRICOS PARA EL HOGAR','3457'
'1','345.8  ','FAB. OTROS APARATOS ELECTRICOS','3458'
'1','345.9  ','FAB. ACCESORIOS DE APAR. ELECTRODOMEST.','3459'
'1','346    ','FAB. LAMPARAS Y MATERIAL DE ALUMBRADO','346'
'1','346.1  ','FAB. LAMPARAS ELECTRICAS','3461'
'1','346.2  ','FAB.LUMINARIAS DE ALTA INTENSIDAD','3462'
'1','346.3  ','FAB. ART. CARBON Y GRAFITO USO ELECTRIC.','3463'
'1','346.4  ','FAB. OTRO MATERIAL DE ALUMBRADO','3464'
'1','346.5  ','FAB. ACCESORIOS MATERIAL ALUMBRADO','3465'
'1','351.1  ','FAB. APARATOS TELEFONICOS Y TELEGRAFICOS','3511'
'1','351.2  ','FAB.APARATOS TELECOMUNICACION RADIODIF.','3512'
'1','352    ','FAB. APARATOS USO PROFESIONAL CIENTIFICO','352'
'1','353    ','FAB.APARAT.SEÑALIZACION,CONTROL','353'
'1','354    ','FAB.COMPONENTES ELECTRONICOS Y CIRCUITOS','354'
'1','354.1  ','FAB. VALVULAS Y TUBOS ELECTRONICOS','3541'
'1','354.2  ','FAB. OTROS COMPONENTES ELECTRONICOS','3542'
'1','354.3  ','FAB. COMPONENTES ELECTRONICOS PASIVOS','3543'
'1','354.4  ','ACCESORIOS DE COMPONENTES ELECTRONICOS','3544'
'1','355.1  ','FAB. RECEPTORES RADIO, TV, Y SONIDO','3551'
'1','355.2  ','EDICION SOPORTES AUDIO,VIDEO,INFORMATICA','3552'
'1','361    ','CONSTRUCCION DE VEHICULOS AUTOMOVILES','361'
'1','361.1  ','AUTOMOVILES DE TURISMO','3611'
'1','361.2  ','AUTOBUSES Y AUTOCARES','3612'
'1','361.3  ','CAMIONES','3613'
'1','361.4  ','OTROS VEHICULOS AUTOMOVILES','3614'
'1','361.5  ','MOTORES PARA VEHICULOS AUTOMOVILES','3615'
'1','361.6  ','CHASIS CON MOTOR PARA AUTOMOVILES','3616'
